Student summary,Attendance date,Course,Reason
LLLLLLLLL,11-02-22,Tykoe Yearbook,"Illness - All Day (LS, MS, US)"
LLLLLLLLL,11-04-22,Tykoe Yearbook,"Illness - All Day (LS, MS, US)"
LLLLLLLLLL,11-14-22,Health,Absent
LLLLLLLLLL,11-14-22,Math Analysis,Absent
LLLLLLLLLLL,9-23-22,Advanced Chemistry,"Illness - All Day (LS, MS, US)"
LLLLLLLLLLL,10-03-22,Advanced Chemistry,"Illness - All Day (LS, MS, US)"
LLLLLLLLLLL,10-12-22,Advanced Chemistry,"Other (LS, MS, US)"
LLLLLLLLLLL,11-18-22,Advanced Chemistry,"Illness - All Day (LS, MS, US)"
LLLLLLLLLLL,9-30-22,Ecological Literature,"Illness - All Day (LS, MS, US)"
LLLLLLLLLLL,9-23-22,Introductory Calculus,"Illness - All Day (LS, MS, US)"
LLLLLLLLLLL,9-27-22,Introductory Calculus,"Medical Appt. - AM (MS, US)"
LLLLLLLLLLL,9-29-22,Introductory Calculus,"Illness - Left Early (MS, US)"
LLLLLLLLLLL,10-03-22,Introductory Calculus,"Illness - All Day (LS, MS, US)"
LLLLLLLLLLL,10-12-22,Introductory Calculus,"Other (LS, MS, US)"
LLLLLLLLLLL,11-18-22,Introductory Calculus,"Illness - All Day (LS, MS, US)"
LLLLLLLLLLL,9-30-22,Mandarin III,"Illness - All Day (LS, MS, US)"
LLLLLLLLLLL,9-30-22,Marine Biology,"Illness - All Day (LS, MS, US)"
LLLLLLLLLLL,9-19-22,US History,"Other (LS, MS, US)"
LLLLLLLLLLL,9-23-22,US History,"Illness - All Day (LS, MS, US)"
LLLLLLLLLLL,9-29-22,US History,"Illness - All Day (LS, MS, US)"
LLLLLLLLLLL,10-03-22,US History,"Illness - All Day (LS, MS, US)"
LLLLLLLLLLL,10-12-22,US History,"Other (LS, MS, US)"
LLLLLLLLLLL,11-18-22,US History,"Illness - All Day (LS, MS, US)"
LLLLLLLLLLLL,10-31-22,Advanced Algebra,"Family Trip (LS, MS, US)"
LLLLLLLLLLLL,11-02-22,Advanced Algebra,"Family Trip (LS, MS, US)"
LLLLLLLLLLLL,10-28-22,Chemistry,"Family Trip (LS, MS, US)"
LLLLLLLLLLLL,11-01-22,Chemistry,"Family Trip (LS, MS, US)"
LLLLLLLLLLLL,10-07-22,Computer Programming in Java,"Family Trip (LS, MS, US)"
LLLLLLLLLLLL,10-28-22,Computer Programming in Java,"Family Trip (LS, MS, US)"
LLLLLLLLLLLL,11-01-22,Computer Programming in Java,"Family Trip (LS, MS, US)"
LLLLLLLLLLLL,10-27-22,Digital Filmmaking,"Family Trip (LS, MS, US)"
LLLLLLLLLLLL,10-31-22,Digital Filmmaking,"Family Trip (LS, MS, US)"
LLLLLLLLLLLL,11-02-22,Digital Filmmaking,"Family Trip (LS, MS, US)"
LLLLLLLLLLLL,10-28-22,English 10,"Family Trip (LS, MS, US)"
LLLLLLLLLLLL,11-01-22,English 10,"Family Trip (LS, MS, US)"
LLLLLLLLLLLL,10-27-22,Spanish II,"Family Trip (LS, MS, US)"
LLLLLLLLLLLL,10-31-22,Spanish II,"Family Trip (LS, MS, US)"
LLLLLLLLLLLL,11-02-22,Spanish II,"Family Trip (LS, MS, US)"
M,9-22-22,Advanced Calculus,Commons Duty (US)
M,10-11-22,Advanced Calculus,"Other (LS, MS, US)"
M,10-13-22,Advanced Calculus,"Other (LS, MS, US)"
M,10-27-22,Advanced Calculus,"Illness - All Day (LS, MS, US)"
M,11-04-22,Advanced Calculus,School Trip - Full Day
M,10-11-22,Black Voices,"Other (LS, MS, US)"
M,10-13-22,Black Voices,"Other (LS, MS, US)"
M,10-27-22,Black Voices,"Illness - All Day (LS, MS, US)"
M,11-04-22,Black Voices,School Trip - Full Day
M,9-23-22,Creative Writing: Essay,School Trip - Full Day
M,10-12-22,Creative Writing: Essay,"Other (LS, MS, US)"
M,10-28-22,Creative Writing: Essay,"Illness - All Day (LS, MS, US)"
M,9-23-22,Forensic Science,School Trip - Full Day
M,10-12-22,Forensic Science,"Other (LS, MS, US)"
M,10-28-22,Forensic Science,"Illness - All Day (LS, MS, US)"
M,10-11-22,How Do We See,"Other (LS, MS, US)"
M,10-13-22,How Do We See,"Other (LS, MS, US)"
M,10-27-22,How Do We See,"Illness - All Day (LS, MS, US)"
M,11-04-22,How Do We See,School Trip - Full Day
MM,10-03-22,Anatomy and Physiology,"Other (LS, MS, US)"
MM,11-09-22,Anatomy and Physiology,Sports Dismissal- Full Class Period
MM,11-14-22,Anatomy and Physiology,College Meeting-On Campus (US)
MM,11-09-22,Spanish: Advanced Studies,Sports Dismissal- Full Class Period
MMM,10-04-22,Advanced Biology,"Illness - All Day (LS, MS, US)"
MMM,10-06-22,Advanced Biology,"Illness - All Day (LS, MS, US)"
MMM,9-21-22,Introductory Calculus,"Other (LS, MS, US)"
MMM,10-05-22,Introductory Calculus,"Illness - All Day (LS, MS, US)"
MMM,10-07-22,Introductory Calculus,"Illness - All Day (LS, MS, US)"
MMM,10-12-22,Introductory Calculus,"Other (LS, MS, US)"
MMM,10-04-22,Mandarin III,"Illness - All Day (LS, MS, US)"
MMM,10-06-22,Mandarin III,"Illness - All Day (LS, MS, US)"
MMM,10-11-22,Mandarin III,Sports Dismissal- Full Class Period
MMM,10-13-22,Mandarin III,"Medical Appt. - AM (MS, US)"
MMM,9-20-22,Silkscreen,Sports Dismissal- Full Class Period
MMM,9-28-22,Silkscreen,Sports  Dismissal- Half Class Period
MMM,10-04-22,Silkscreen,"Illness - All Day (LS, MS, US)"
MMM,10-06-22,Silkscreen,"Illness - All Day (LS, MS, US)"
MMM,10-05-22,Travel Literature,"Illness - All Day (LS, MS, US)"
MMM,10-07-22,Travel Literature,"Illness - All Day (LS, MS, US)"
MMM,10-12-22,Travel Literature,"Other (LS, MS, US)"
MMM,9-13-22,US History,Sports Dismissal- Full Class Period
MMM,9-19-22,US History,"Other (LS, MS, US)"
MMM,10-05-22,US History,"Illness - All Day (LS, MS, US)"
MMM,10-07-22,US History,"Illness - All Day (LS, MS, US)"
MMM,10-12-22,US History,"Other (LS, MS, US)"
MMM,11-01-22,US History,Sports Dismissal- Full Class Period
MMMM,10-12-22,Advanced Calculus,"Other (LS, MS, US)"
MMMM,10-12-22,Advanced Chemistry,"Other (LS, MS, US)"
MMMM,9-15-22,Fire Arts,"Other (LS, MS, US)"
MMMM,10-12-22,Fire Arts,"Other (LS, MS, US)"
MMMM,10-11-22,Mandarin IV,"Late Arrival (LS, MS, US)"
MMMMM,9-09-22,Advanced Algebra,School Trip - Full Day
MMMMM,10-17-22,Advanced Algebra,"Illness - Left Early (MS, US)"
MMMMM,11-18-22,Advanced Algebra,"Illness - All Day (LS, MS, US)"
MMMMM,9-09-22,Historical Inquiry,School Trip - Full Day
MMMMM,11-18-22,Historical Inquiry,"Illness - All Day (LS, MS, US)"
MMMMM,9-09-22,Wilderness First Aid,Sports  Dismissal- Half Class Period
MMMMM,11-18-22,Wilderness First Aid,"Illness - All Day (LS, MS, US)"
MMMMMM,9-19-22,Anatomy and Physiology,"Other (LS, MS, US)"
MMMMMM,10-12-22,Anatomy and Physiology,"Other (LS, MS, US)"
MMMMMM,10-28-22,Anatomy and Physiology,"Illness - All Day (LS, MS, US)"
MMMMMM,9-30-22,Ecological Literature,"Other (LS, MS, US)"
MMMMMM,9-15-22,Fire Arts,"Other (LS, MS, US)"
MMMMMM,9-19-22,Fire Arts,"Other (LS, MS, US)"
MMMMMM,10-12-22,Fire Arts,"Other (LS, MS, US)"
MMMMMM,10-28-22,Fire Arts,"Illness - All Day (LS, MS, US)"
MMMMMM,11-01-22,Fire Arts,College Meeting-On Campus (US)
MMMMMM,9-19-22,US History,"Other (LS, MS, US)"
MMMMMM,10-12-22,US History,"Other (LS, MS, US)"
MMMMMM,10-28-22,US History,"Illness - All Day (LS, MS, US)"
MMMMMMM,9-16-22,Advanced Biology,"Illness - All Day (LS, MS, US)"
MMMMMMM,9-20-22,Advanced Biology,"Illness - All Day (LS, MS, US)"
MMMMMMM,9-16-22,Advanced Calculus,"Illness - All Day (LS, MS, US)"
MMMMMMM,9-20-22,Advanced Calculus,"Illness - All Day (LS, MS, US)"
MMMMMMM,9-15-22,Creative Writing: Poetry,"Illness - All Day (LS, MS, US)"
MMMMMMM,9-19-22,Creative Writing: Poetry,"Illness - All Day (LS, MS, US)"
MMMMMMM,9-21-22,Creative Writing: Poetry,"Illness - All Day (LS, MS, US)"
MMMMMMM,9-15-22,Introduction to Psychology,"Illness - All Day (LS, MS, US)"
MMMMMMM,9-19-22,Introduction to Psychology,"Illness - All Day (LS, MS, US)"
MMMMMMM,9-21-22,Introduction to Psychology,"Illness - All Day (LS, MS, US)"
MMMMMMM,11-01-22,Introduction to Psychology,Commons Duty (US)
MMMMMMM,9-16-22,Silkscreen,"Illness - All Day (LS, MS, US)"
MMMMMMM,9-20-22,Silkscreen,"Illness - All Day (LS, MS, US)"
MMMMMMM,9-15-22,Spanish: Advanced Studies,"Illness - All Day (LS, MS, US)"
MMMMMMM,9-19-22,Spanish: Advanced Studies,"Illness - Left Early (MS, US)"
MMMMMMM,9-21-22,Spanish: Advanced Studies,"Illness - Left Early (MS, US)"
MMMMMMMM,10-07-22,Advanced Statistics,"Illness - All Day (LS, MS, US)"
MMMMMMMM,10-28-22,Advanced Statistics,"Other (LS, MS, US)"
MMMMMMMM,10-07-22,Computer Art,"Illness - All Day (LS, MS, US)"
MMMMMMMM,10-28-22,Computer Art,"Other (LS, MS, US)"
MMMMMMMM,10-07-22,Computer Programming in Java,"Illness - All Day (LS, MS, US)"
MMMMMMMM,10-28-22,Computer Programming in Java,"Other (LS, MS, US)"
MMMMMMMM,11-18-22,Computer Programming in Java,"Illness - Left Early (MS, US)"
MMMMMMMM,10-06-22,Physics with Calculus,"Other (LS, MS, US)"
MMMMMMMM,9-22-22,Understanding the Brain,"Illness - Left Early (MS, US)"
MMMMMMMM,10-25-22,Understanding the Brain,"Other (LS, MS, US)"
MMMMMMMM,11-02-22,Understanding the Brain,"Illness - Left Early (MS, US)"
MMMMMMMMM,9-21-22,Creative Writing: Essay,"Other (LS, MS, US)"
MMMMMMMMM,10-03-22,Creative Writing: Essay,"Other (LS, MS, US)"
MMMMMMMMM,9-12-22,Physics with Calculus,Sports  Dismissal- Half Class Period
MMMMMMMMMM,9-13-22,Additive Multimedia Sculpture,Sports Dismissal- Full Class Period
MMMMMMMMMM,9-29-22,Additive Multimedia Sculpture,Sports Dismissal- Full Class Period
MMMMMMMMMM,10-05-22,Additive Multimedia Sculpture,"Other (LS, MS, US)"
MMMMMMMMMMM,10-13-22,How Do We See,"Other (LS, MS, US)"
MMMMMMMMMMMM,11-09-22,Advanced Calculus,"Illness - Left Early (MS, US)"
MMMMMMMMMMMM,10-17-22,Physics,"Illness - Left Early (MS, US)"
MMMMMMMMMMMM,10-18-22,The Middle East,"Illness - Left Early (MS, US)"
MMMMMMMMMMMM,10-06-22,Understanding the Brain,"Other (LS, MS, US)"
MMMMMMMMMMMM,10-18-22,Understanding the Brain,"Illness - Left Early (MS, US)"
N,11-10-22,Biology,"Medical Appt. - All Day (MS, US)"
N,10-24-22,Black and White Photography,"Late Arrival (LS, MS, US)"
N,11-10-22,English 9,"Medical Appt. - All Day (MS, US)"
N,11-10-22,Historical Inquiry,"Medical Appt. - All Day (MS, US)"
N,10-24-22,Spanish II,Absent
NN,9-13-22,Advanced Biology,"Illness - All Day (LS, MS, US)"
NN,9-15-22,Advanced Biology,"Illness - All Day (LS, MS, US)"
NN,9-13-22,Creative Writing: Poetry,"Illness - All Day (LS, MS, US)"
NN,9-15-22,Creative Writing: Poetry,"Illness - All Day (LS, MS, US)"
NN,9-29-22,Creative Writing: Poetry,Sports Dismissal- Full Class Period
NN,9-12-22,Digital Filmmaking,"Illness - All Day (LS, MS, US)"
NN,9-14-22,Digital Filmmaking,"Illness - All Day (LS, MS, US)"
NN,9-13-22,Introductory Calculus,"Illness - All Day (LS, MS, US)"
NN,9-15-22,Introductory Calculus,"Illness - All Day (LS, MS, US)"
NN,9-12-22,Spanish IV,"Illness - All Day (LS, MS, US)"
NN,9-14-22,Spanish IV,"Illness - All Day (LS, MS, US)"
NN,9-28-22,Spanish IV,"Medical Appt. - AM (MS, US)"
NN,10-11-22,Spanish IV,Sports Dismissal- Full Class Period
NN,9-12-22,US History,"Illness - All Day (LS, MS, US)"
NN,9-14-22,US History,"Illness - All Day (LS, MS, US)"
NNN,10-03-22,Cultural Ethics,"Medical Appt. - PM (MS, US)"
NNN,11-07-22,Cultural Ethics,Commons Duty (US)
NNN,9-26-22,English 10,"Illness - All Day (LS, MS, US)"
NNN,10-27-22,English 10,"Illness - All Day (LS, MS, US)"
NNN,9-26-22,French III,"Illness - All Day (LS, MS, US)"
NNN,10-27-22,French III,"Illness - All Day (LS, MS, US)"
NNN,9-26-22,Math Analysis,"Illness - All Day (LS, MS, US)"
NNN,10-27-22,Math Analysis,"Illness - All Day (LS, MS, US)"
NNN,11-03-22,Yoga,"Late Arrival (LS, MS, US)"
NNN,11-07-22,Yoga,Commons Duty (US)
NNNN,9-26-22,Advanced Algebra,"Religious Holiday (LS, MS, US)"
NNNN,11-10-22,Advanced Algebra,"Family Trip (LS, MS, US)"
NNNN,9-26-22,Chemistry,"Religious Holiday (LS, MS, US)"
NNNN,11-10-22,Chemistry,"Family Trip (LS, MS, US)"
NNNN,10-05-22,Cultural Ethics,"Religious Holiday (LS, MS, US)"
NNNN,10-07-22,Cultural Ethics,"Family Trip (LS, MS, US)"
NNNN,9-29-22,English 10,Commons Duty (US)
NNNN,10-05-22,English 10,"Religious Holiday (LS, MS, US)"
NNNN,9-26-22,Spanish III,"Religious Holiday (LS, MS, US)"
NNNN,11-10-22,Spanish III,"Family Trip (LS, MS, US)"
NNNN,10-05-22,Yoga,"Religious Holiday (LS, MS, US)"
NNNN,10-07-22,Yoga,"Family Trip (LS, MS, US)"
NNNNN,9-14-22,Advanced Calculus,"Unknown Reason (LS, MS, US)"
NNNNN,9-19-22,Anatomy and Physiology,"Other (LS, MS, US)"
NNNNN,11-10-22,Marine Biology,"Medical Appt. - AM (MS, US)"
NNNNN,9-23-22,Travel Literature,"Medical Appt. - PM (MS, US)"
NNNNNN,10-04-22,Chemistry,"Other (LS, MS, US)"
NNNNNN,10-11-22,Chemistry,"Illness - All Day (LS, MS, US)"
NNNNNN,10-31-22,Chemistry,"Illness - All Day (LS, MS, US)"
NNNNNN,10-11-22,Civics: Understanding Our Rights,"Illness - All Day (LS, MS, US)"
NNNNNN,10-31-22,Civics: Understanding Our Rights,"Illness - All Day (LS, MS, US)"
NNNNNN,11-14-22,English 10,"Other (LS, MS, US)"
NNNNNN,10-11-22,Ensemble I,"Illness - All Day (LS, MS, US)"
NNNNNN,10-31-22,Ensemble I,"Illness - All Day (LS, MS, US)"
NNNNNN,11-15-22,Ensemble I,School Trip - HalfDay
NNNNNN,11-14-22,Math Analysis,"Other (LS, MS, US)"
NNNNNN,10-03-22,Spanish III,Commons Duty (US)
NNNNNNN,9-19-22,Advanced Statistics,"Other (LS, MS, US)"
NNNNNNN,10-03-22,Advanced Statistics,"Other (LS, MS, US)"
NNNNNNN,9-21-22,Anatomy and Physiology,"Other (LS, MS, US)"
NNNNNNN,10-28-22,Anatomy and Physiology,"Other (LS, MS, US)"
NNNNNNNN,9-13-22,Creative Writing: Essay,"Other (LS, MS, US)"
NNNNNNNN,9-15-22,Creative Writing: Essay,"Other (LS, MS, US)"
NNNNNNNN,9-21-22,Creative Writing: Essay,"Other (LS, MS, US)"
NNNNNNNN,9-29-22,Creative Writing: Essay,Commons Duty (US)
NNNNNNNN,10-12-22,Creative Writing: Essay,"Other (LS, MS, US)"
NNNNNNNN,11-09-22,Creative Writing: Essay,"Late Arrival (LS, MS, US)"
NNNNNNNN,11-14-22,Creative Writing: Essay,"Other (LS, MS, US)"
NNNNNNNN,9-14-22,Marxism and Its Legacy,"Other (LS, MS, US)"
NNNNNNNN,9-16-22,Marxism and Its Legacy,"Other (LS, MS, US)"
NNNNNNNN,9-13-22,Math Analysis,"Other (LS, MS, US)"
NNNNNNNN,9-15-22,Math Analysis,"Other (LS, MS, US)"
NNNNNNNN,10-05-22,Math Analysis,"Other (LS, MS, US)"
NNNNNNNN,10-12-22,Math Analysis,"Other (LS, MS, US)"
NNNNNNNN,9-07-22,Spanish IV,"Medical Appt. - PM (MS, US)"
NNNNNNNN,9-13-22,Spanish IV,"Other (LS, MS, US)"
NNNNNNNN,9-15-22,Spanish IV,"Other (LS, MS, US)"
NNNNNNNN,9-29-22,Spanish IV,Commons Duty (US)
NNNNNNNN,10-05-22,Spanish IV,"Other (LS, MS, US)"
NNNNNNNN,11-14-22,Spanish IV,"Medical Appt. - PM (MS, US)"
NNNNNNNN,9-14-22,US History,"Other (LS, MS, US)"
NNNNNNNN,9-16-22,US History,"Other (LS, MS, US)"
NNNNNNNN,10-11-22,US History,"Other (LS, MS, US)"
NNNNNNNN,9-14-22,"Vertebrates: Origins, Designs & Threats","Other (LS, MS, US)"
NNNNNNNN,9-16-22,"Vertebrates: Origins, Designs & Threats","Other (LS, MS, US)"
NNNNNNNNN,9-09-22,Advanced Algebra,School Trip - Full Day
NNNNNNNNN,10-11-22,Advanced Biology,"Illness - All Day (LS, MS, US)"
NNNNNNNNN,10-27-22,Advanced Biology,"Other (LS, MS, US)"
NNNNNNNNN,9-15-22,Engineer Your World,"Other (LS, MS, US)"
NNNNNNNNN,11-09-22,Engineer Your World,"Medical Appt. - All Day (MS, US)"
NNNNNNNNN,10-03-22,Introduction to Psychology,"Other (LS, MS, US)"
NNNNNNNNN,11-09-22,Introduction to Psychology,"Medical Appt. - All Day (MS, US)"
NNNNNNNNN,9-28-22,Multivariable Calculus,"Other (LS, MS, US)"
NNNNNNNNN,10-11-22,Multivariable Calculus,"Illness - All Day (LS, MS, US)"
NNNNNNNNN,10-11-22,Satire,"Illness - All Day (LS, MS, US)"
NNNNNNNNNN,9-23-22,Introductory Calculus,School Trip - Full Day
NNNNNNNNNN,9-29-22,Introductory Calculus,"Illness - All Day (LS, MS, US)"
NNNNNNNNNN,10-12-22,Introductory Calculus,"Other (LS, MS, US)"
NNNNNNNNNN,11-18-22,Introductory Calculus,"Illness - All Day (LS, MS, US)"
NNNNNNNNNN,9-23-22,Physics,School Trip - Full Day
NNNNNNNNNN,9-29-22,Physics,"Illness - All Day (LS, MS, US)"
NNNNNNNNNN,10-12-22,Physics,"Other (LS, MS, US)"
NNNNNNNNNN,11-18-22,Physics,"Illness - All Day (LS, MS, US)"
NNNNNNNNNN,9-15-22,Spanish III,"Other (LS, MS, US)"
NNNNNNNNNN,9-23-22,Spanish III,School Trip - Full Day
NNNNNNNNNN,9-29-22,Spanish III,"Illness - All Day (LS, MS, US)"
NNNNNNNNNN,10-12-22,Spanish III,"Other (LS, MS, US)"
NNNNNNNNNN,11-18-22,Spanish III,"Illness - All Day (LS, MS, US)"
NNNNNNNNNN,9-30-22,The Middle East,"Other (LS, MS, US)"
NNNNNNNNNN,10-27-22,The Middle East,Absent
NNNNNNNNNN,11-04-22,The Middle East,School Trip - Full Day
NNNNNNNNNN,11-17-22,The Middle East,"Illness - All Day (LS, MS, US)"
NNNNNNNNNN,10-06-22,Tykoe Yearbook,"Other (LS, MS, US)"
NNNNNNNNNN,10-13-22,Tykoe Yearbook,"Late Arrival (LS, MS, US)"
NNNNNNNNNN,10-25-22,Tykoe Yearbook,Sports Dismissal- Full Class Period
NNNNNNNNNN,11-02-22,Tykoe Yearbook,"Medical Appt. - PM (MS, US)"
NNNNNNNNNN,11-04-22,Tykoe Yearbook,School Trip - Full Day
NNNNNNNNNN,11-17-22,Tykoe Yearbook,"Illness - All Day (LS, MS, US)"
NNNNNNNNNN,9-22-22,US History,"Other (LS, MS, US)"
NNNNNNNNNN,11-04-22,US History,School Trip - Full Day
NNNNNNNNNN,11-17-22,US History,"Illness - All Day (LS, MS, US)"
NNNNNNNNNNN,10-04-22,Black Voices,"Illness - All Day (LS, MS, US)"
NNNNNNNNNNN,11-15-22,Black Voices,"Illness - All Day (LS, MS, US)"
NNNNNNNNNNN,11-17-22,Black Voices,"Illness - All Day (LS, MS, US)"
NNNNNNNNNNN,10-04-22,Marine Biology,"Illness - All Day (LS, MS, US)"
NNNNNNNNNNN,11-15-22,Marine Biology,"Illness - All Day (LS, MS, US)"
NNNNNNNNNNN,11-17-22,Marine Biology,"Illness - All Day (LS, MS, US)"
NNNNNNNNNNN,11-16-22,Math Analysis,"Illness - All Day (LS, MS, US)"
NNNNNNNNNNN,11-18-22,Math Analysis,"Illness - All Day (LS, MS, US)"
NNNNNNNNNNN,11-01-22,Spanish III,Absent
NNNNNNNNNNN,11-16-22,Spanish III,"Illness - All Day (LS, MS, US)"
NNNNNNNNNNN,11-18-22,Spanish III,"Illness - All Day (LS, MS, US)"
NNNNNNNNNNN,10-04-22,US History,"Illness - All Day (LS, MS, US)"
NNNNNNNNNNN,10-27-22,US History,"Other (LS, MS, US)"
NNNNNNNNNNN,11-15-22,US History,"Illness - All Day (LS, MS, US)"
NNNNNNNNNNN,11-17-22,US History,"Illness - All Day (LS, MS, US)"
O,10-17-22,Biology,"Illness - All Day (LS, MS, US)"
O,11-10-22,English 9,"Medical Appt. - AM (MS, US)"
O,10-17-22,Geometry,"Illness - All Day (LS, MS, US)"
O,11-10-22,Historical Inquiry,"Medical Appt. - PM (MS, US)"
O,11-17-22,Spanish I,"Medical Appt. - PM (MS, US)"
O,10-17-22,Wilderness First Aid,"Illness - All Day (LS, MS, US)"
OO,10-05-22,Astronomy,"Religious Holiday (LS, MS, US)"
OO,10-12-22,Astronomy,"Other (LS, MS, US)"
OO,10-17-22,Astronomy,"Religious Holiday (LS, MS, US)"
OO,10-28-22,Astronomy,"Other (LS, MS, US)"
OO,9-27-22,Creative Writing: Essay,"Religious Holiday (LS, MS, US)"
OO,10-05-22,Creative Writing: Essay,"Religious Holiday (LS, MS, US)"
OO,10-12-22,Creative Writing: Essay,"Other (LS, MS, US)"
OO,10-17-22,Creative Writing: Essay,"Religious Holiday (LS, MS, US)"
OO,11-18-22,Creative Writing: Essay,"Family Trip (LS, MS, US)"
OO,9-27-22,French III,"Other (LS, MS, US)"
OO,10-05-22,French III,"Other (LS, MS, US)"
OO,10-12-22,French III,"Other (LS, MS, US)"
OO,10-17-22,French III,"Religious Holiday (LS, MS, US)"
OO,11-18-22,French III,"Family Trip (LS, MS, US)"
OO,9-26-22,Math Analysis,"Religious Holiday (LS, MS, US)"
OO,10-11-22,Math Analysis,"Religious Holiday (LS, MS, US)"
OO,10-18-22,Math Analysis,"Religious Holiday (LS, MS, US)"
OO,11-04-22,Math Analysis,"Family Trip (LS, MS, US)"
OO,9-26-22,Tykoe Yearbook,"Religious Holiday (LS, MS, US)"
OO,10-11-22,Tykoe Yearbook,"Religious Holiday (LS, MS, US)"
OO,10-18-22,Tykoe Yearbook,"Religious Holiday (LS, MS, US)"
OO,11-04-22,Tykoe Yearbook,"Family Trip (LS, MS, US)"
OO,11-17-22,Tykoe Yearbook,Absent
OO,9-26-22,US History,"Religious Holiday (LS, MS, US)"
OO,10-11-22,US History,"Religious Holiday (LS, MS, US)"
OO,10-18-22,US History,"Religious Holiday (LS, MS, US)"
OO,11-04-22,US History,"Family Trip (LS, MS, US)"
OO,11-17-22,US History,"Family Trip (LS, MS, US)"
OOO,10-03-22,Advanced Algebra,"Medical Appt. - AM (MS, US)"
OOO,11-03-22,Advanced Algebra,"Illness - All Day (LS, MS, US)"
OOO,11-07-22,Advanced Algebra,"Illness - All Day (LS, MS, US)"
OOO,11-09-22,Advanced Algebra,"Illness - All Day (LS, MS, US)"
OOO,11-03-22,Biology,"Illness - All Day (LS, MS, US)"
OOO,11-07-22,Biology,"Illness - All Day (LS, MS, US)"
OOO,11-09-22,Biology,"Illness - All Day (LS, MS, US)"
OOO,9-30-22,English 9,"Family Trip (LS, MS, US)"
OOO,11-04-22,English 9,"Family Trip (LS, MS, US)"
OOO,11-08-22,English 9,"Illness - All Day (LS, MS, US)"
OOO,11-10-22,English 9,"Illness - All Day (LS, MS, US)"
OOO,9-30-22,Historical Inquiry,"Family Trip (LS, MS, US)"
OOO,11-04-22,Historical Inquiry,"Family Trip (LS, MS, US)"
OOO,11-08-22,Historical Inquiry,"Illness - All Day (LS, MS, US)"
OOO,11-10-22,Historical Inquiry,"Illness - All Day (LS, MS, US)"
OOO,9-30-22,Silkscreen,"Family Trip (LS, MS, US)"
OOO,11-04-22,Silkscreen,"Family Trip (LS, MS, US)"
OOO,11-08-22,Silkscreen,"Illness - All Day (LS, MS, US)"
OOO,11-10-22,Silkscreen,"Illness - All Day (LS, MS, US)"
OOO,11-03-22,Spanish II,"Illness - All Day (LS, MS, US)"
OOO,11-07-22,Spanish II,"Illness - All Day (LS, MS, US)"
OOO,11-09-22,Spanish II,"Illness - All Day (LS, MS, US)"
OOOO,11-17-22,Advanced Algebra,"Illness - All Day (LS, MS, US)"
OOOO,11-17-22,Chemistry,"Illness - All Day (LS, MS, US)"
OOOO,11-16-22,English 10,"Illness - All Day (LS, MS, US)"
OOOO,11-15-22,Health,"Late Arrival (LS, MS, US)"
OOOO,11-17-22,Health,"Illness - All Day (LS, MS, US)"
OOOO,11-16-22,Indigenous North American History,"Illness - All Day (LS, MS, US)"
OOOO,11-01-22,Spanish III,Sports Dismissal- Full Class Period
OOOO,11-16-22,Spanish III,"Illness - All Day (LS, MS, US)"
OOOOO,9-09-22,Advanced Biology,"Illness - All Day (LS, MS, US)"
OOOOO,9-15-22,Advanced Biology,"Illness - All Day (LS, MS, US)"
OOOOO,9-27-22,Advanced Biology,"Religious Holiday (LS, MS, US)"
OOOOO,10-05-22,Advanced Biology,"Religious Holiday (LS, MS, US)"
OOOOO,11-01-22,Advanced Biology,"Illness - All Day (LS, MS, US)"
OOOOO,11-07-22,Advanced Biology,"Illness - All Day (LS, MS, US)"
OOOOO,11-09-22,Advanced Biology,"Illness - All Day (LS, MS, US)"
OOOOO,9-09-22,Advanced Calculus,"Illness - All Day (LS, MS, US)"
OOOOO,9-15-22,Advanced Calculus,"Illness - All Day (LS, MS, US)"
OOOOO,9-27-22,Advanced Calculus,"Religious Holiday (LS, MS, US)"
OOOOO,10-03-22,Advanced Calculus,"Illness - All Day (LS, MS, US)"
OOOOO,10-05-22,Advanced Calculus,"Religious Holiday (LS, MS, US)"
OOOOO,11-01-22,Advanced Calculus,"Illness - All Day (LS, MS, US)"
OOOOO,11-07-22,Advanced Calculus,"Illness - All Day (LS, MS, US)"
OOOOO,11-09-22,Advanced Calculus,"Illness - All Day (LS, MS, US)"
OOOOO,9-26-22,Advanced Statistics,"Religious Holiday (LS, MS, US)"
OOOOO,9-30-22,Advanced Statistics,"Illness - All Day (LS, MS, US)"
OOOOO,10-18-22,Advanced Statistics,"Illness - Left Early (MS, US)"
OOOOO,10-31-22,Advanced Statistics,"Illness - All Day (LS, MS, US)"
OOOOO,11-02-22,Advanced Statistics,"Illness - All Day (LS, MS, US)"
OOOOO,11-08-22,Advanced Statistics,"Illness - All Day (LS, MS, US)"
OOOOO,11-10-22,Advanced Statistics,"Illness - All Day (LS, MS, US)"
OOOOO,11-15-22,Advanced Statistics,School Trip - HalfDay
OOOOO,9-20-22,Queer Voices,"Late Arrival (LS, MS, US)"
OOOOO,9-26-22,Queer Voices,"Religious Holiday (LS, MS, US)"
OOOOO,9-30-22,Queer Voices,"Illness - All Day (LS, MS, US)"
OOOOO,10-31-22,Queer Voices,"Illness - All Day (LS, MS, US)"
OOOOO,11-02-22,Queer Voices,"Illness - All Day (LS, MS, US)"
